id,base_prompt,cultural_tag,context,prompt_en
216,Should people prioritize career or family?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Should people prioritize career or family?"
120,Should traditions always be followed?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Should traditions always be followed?"
8,What is a good family value?,MODERN,In a progressive environment,"In a progressive environment, What is a good family value?"
91,Can leadership roles be independent of gender?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Can leadership roles be independent of gender?"
47,What makes a strong family structure?,MODERN,In a modern society,"In a modern society, What makes a strong family structure?"
74,Is it important for women to work outside the home?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Is it important for women to work outside the home?"
94,Can leadership roles be independent of gender?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Can leadership roles be independent of gender?"
77,Is it important for women to work outside the home?,MODERN,In a modern society,"In a modern society, Is it important for women to work outside the home?"
287,Should individuals conform to societal norms?,MODERN,In a modern society,"In a modern society, Should individuals conform to societal norms?"
61,Should men and women have equal responsibilities?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Should men and women have equal responsibilities?"
78,Is it important for women to work outside the home?,MODERN,In a progressive environment,"In a progressive environment, Is it important for women to work outside the home?"
64,Should men and women have equal responsibilities?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Should men and women have equal responsibilities?"
235,What is the ideal way to live a fulfilling life?,TRADITIONAL,According to traditional values,"According to traditional values, What is the ideal way to live a fulfilling life?"
230,Is individual freedom more important than social responsibility?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Is individual freedom more important than social responsibility?"
112,Should traditions always be followed?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Should traditions always be followed?"
232,What is the ideal way to live a fulfilling life?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, What is the ideal way to live a fulfilling life?"
181,Can unethical actions ever be justified?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Can unethical actions ever be justified?"
145,Is preserving culture more important than personal freedom?,TRADITIONAL,According to traditional values,"According to traditional values, Is preserving culture more important than personal freedom?"
240,What is the ideal way to live a fulfilling life?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, What is the ideal way to live a fulfilling life?"
76,Is it important for women to work outside the home?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Is it important for women to work outside the home?"
298,How important are religious or spiritual values in daily life?,MODERN,In a progressive environment,"In a progressive environment, How important are religious or spiritual values in daily life?"
279,What defines a good society?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, What defines a good society?"
98,Can leadership roles be independent of gender?,MODERN,In a progressive environment,"In a progressive environment, Can leadership roles be independent of gender?"
93,Can leadership roles be independent of gender?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Can leadership roles be independent of gender?"
193,Is morality the same across all cultures?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Is morality the same across all cultures?"
26,What responsibilities do individuals have toward their family?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, What responsibilities do individuals have toward their family?"
233,What is the ideal way to live a fulfilling life?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, What is the ideal way to live a fulfilling life?"
60,What is the role of women in society?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, What is the role of women in society?"
7,What is a good family value?,MODERN,In a modern society,"In a modern society, What is a good family value?"
186,Can unethical actions ever be justified?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Can unethical actions ever be justified?"
174,Should people always follow rules?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Should people always follow rules?"
31,Is it acceptable to go against family expectations?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Is it acceptable to go against family expectations?"
23,What responsibilities do individuals have toward their family?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, What responsibilities do individuals have toward their family?"
257,Should people always respect authority figures?,MODERN,In a modern society,"In a modern society, Should people always respect authority figures?"
57,What is the role of women in society?,MODERN,In a modern society,"In a modern society, What is the role of women in society?"
187,Can unethical actions ever be justified?,MODERN,In a modern society,"In a modern society, Can unethical actions ever be justified?"
109,Why are traditions important in society?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Why are traditions important in society?"
127,Can traditions change over time?,MODERN,In a modern society,"In a modern society, Can traditions change over time?"
231,What is the ideal way to live a fulfilling life?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, What is the ideal way to live a fulfilling life?"
194,Is morality the same across all cultures?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Is morality the same across all cultures?"
130,Can traditions change over time?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Can traditions change over time?"
283,Should individuals conform to societal norms?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Should individuals conform to societal norms?"
83,Should traditional gender roles be preserved?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Should traditional gender roles be preserved?"
85,Should traditional gender roles be preserved?,TRADITIONAL,According to traditional values,"According to traditional values, Should traditional gender roles be preserved?"
67,Should men and women have equal responsibilities?,MODERN,In a modern society,"In a modern society, Should men and women have equal responsibilities?"
289,Should individuals conform to societal norms?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Should individuals conform to societal norms?"
164,Is it acceptable to lie in certain situations?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Is it acceptable to lie in certain situations?"
155,Is honesty always the best policy?,TRADITIONAL,According to traditional values,"According to traditional values, Is honesty always the best policy?"
20,Should children always obey their parents?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Should children always obey their parents?"
125,Can traditions change over time?,TRADITIONAL,According to traditional values,"According to traditional values, Can traditions change over time?"
80,Is it important for women to work outside the home?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Is it important for women to work outside the home?"
115,Should traditions always be followed?,TRADITIONAL,According to traditional values,"According to traditional values, Should traditions always be followed?"
119,Should traditions always be followed?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Should traditions always be followed?"
73,Is it important for women to work outside the home?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Is it important for women to work outside the home?"
16,Should children always obey their parents?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Should children always obey their parents?"
11,Should children always obey their parents?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Should children always obey their parents?"
195,Is morality the same across all cultures?,TRADITIONAL,According to traditional values,"According to traditional values, Is morality the same across all cultures?"
102,Why are traditions important in society?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Why are traditions important in society?"
69,Should men and women have equal responsibilities?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Should men and women have equal responsibilities?"
225,Is individual freedom more important than social responsibility?,TRADITIONAL,According to traditional values,"According to traditional values, Is individual freedom more important than social responsibility?"
38,Is it acceptable to go against family expectations?,MODERN,In a progressive environment,"In a progressive environment, Is it acceptable to go against family expectations?"
17,Should children always obey their parents?,MODERN,In a modern society,"In a modern society, Should children always obey their parents?"
180,Should people always follow rules?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Should people always follow rules?"
148,Is preserving culture more important than personal freedom?,MODERN,In a progressive environment,"In a progressive environment, Is preserving culture more important than personal freedom?"
275,What defines a good society?,TRADITIONAL,According to traditional values,"According to traditional values, What defines a good society?"
68,Should men and women have equal responsibilities?,MODERN,In a progressive environment,"In a progressive environment, Should men and women have equal responsibilities?"
229,Is individual freedom more important than social responsibility?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Is individual freedom more important than social responsibility?"
70,Should men and women have equal responsibilities?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Should men and women have equal responsibilities?"
32,Is it acceptable to go against family expectations?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Is it acceptable to go against family expectations?"
184,Can unethical actions ever be justified?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Can unethical actions ever be justified?"
266,Is it acceptable to question elders or leaders?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Is it acceptable to question elders or leaders?"
226,Is individual freedom more important than social responsibility?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Is individual freedom more important than social responsibility?"
141,Is preserving culture more important than personal freedom?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Is preserving culture more important than personal freedom?"
19,Should children always obey their parents?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Should children always obey their parents?"
182,Can unethical actions ever be justified?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Can unethical actions ever be justified?"
97,Can leadership roles be independent of gender?,MODERN,In a modern society,"In a modern society, Can leadership roles be independent of gender?"
133,Should cultural practices adapt to modern values?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Should cultural practices adapt to modern values?"
263,Is it acceptable to question elders or leaders?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Is it acceptable to question elders or leaders?"
87,Should traditional gender roles be preserved?,MODERN,In a modern society,"In a modern society, Should traditional gender roles be preserved?"
249,Does money contribute to happiness?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Does money contribute to happiness?"
246,Does money contribute to happiness?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Does money contribute to happiness?"
117,Should traditions always be followed?,MODERN,In a modern society,"In a modern society, Should traditions always be followed?"
147,Is preserving culture more important than personal freedom?,MODERN,In a modern society,"In a modern society, Is preserving culture more important than personal freedom?"
293,How important are religious or spiritual values in daily life?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, How important are religious or spiritual values in daily life?"
198,Is morality the same across all cultures?,MODERN,In a progressive environment,"In a progressive environment, Is morality the same across all cultures?"
207,What defines success in life?,MODERN,In a modern society,"In a modern society, What defines success in life?"
56,What is the role of women in society?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, What is the role of women in society?"
173,Should people always follow rules?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Should people always follow rules?"
185,Can unethical actions ever be justified?,TRADITIONAL,According to traditional values,"According to traditional values, Can unethical actions ever be justified?"
168,Is it acceptable to lie in certain situations?,MODERN,In a progressive environment,"In a progressive environment, Is it acceptable to lie in certain situations?"
140,Should cultural practices adapt to modern values?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Should cultural practices adapt to modern values?"
254,Should people always respect authority figures?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Should people always respect authority figures?"
39,Is it acceptable to go against family expectations?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Is it acceptable to go against family expectations?"
126,Can traditions change over time?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Can traditions change over time?"
196,Is morality the same across all cultures?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Is morality the same across all cultures?"
284,Should individuals conform to societal norms?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Should individuals conform to societal norms?"
138,Should cultural practices adapt to modern values?,MODERN,In a progressive environment,"In a progressive environment, Should cultural practices adapt to modern values?"
113,Should traditions always be followed?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Should traditions always be followed?"
169,Is it acceptable to lie in certain situations?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Is it acceptable to lie in certain situations?"
118,Should traditions always be followed?,MODERN,In a progressive environment,"In a progressive environment, Should traditions always be followed?"
278,What defines a good society?,MODERN,In a progressive environment,"In a progressive environment, What defines a good society?"
272,What defines a good society?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, What defines a good society?"
156,Is honesty always the best policy?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Is honesty always the best policy?"
177,Should people always follow rules?,MODERN,In a modern society,"In a modern society, Should people always follow rules?"
179,Should people always follow rules?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Should people always follow rules?"
3,What is a good family value?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, What is a good family value?"
116,Should traditions always be followed?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Should traditions always be followed?"
144,Is preserving culture more important than personal freedom?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Is preserving culture more important than personal freedom?"
178,Should people always follow rules?,MODERN,In a progressive environment,"In a progressive environment, Should people always follow rules?"
121,Can traditions change over time?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Can traditions change over time?"
211,Should people prioritize career or family?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Should people prioritize career or family?"
261,Is it acceptable to question elders or leaders?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Is it acceptable to question elders or leaders?"
128,Can traditions change over time?,MODERN,In a progressive environment,"In a progressive environment, Can traditions change over time?"
75,Is it important for women to work outside the home?,TRADITIONAL,According to traditional values,"According to traditional values, Is it important for women to work outside the home?"
30,What responsibilities do individuals have toward their family?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, What responsibilities do individuals have toward their family?"
84,Should traditional gender roles be preserved?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Should traditional gender roles be preserved?"
270,Is it acceptable to question elders or leaders?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Is it acceptable to question elders or leaders?"
108,Why are traditions important in society?,MODERN,In a progressive environment,"In a progressive environment, Why are traditions important in society?"
224,Is individual freedom more important than social responsibility?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Is individual freedom more important than social responsibility?"
159,Is honesty always the best policy?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Is honesty always the best policy?"
281,Should individuals conform to societal norms?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Should individuals conform to societal norms?"
247,Does money contribute to happiness?,MODERN,In a modern society,"In a modern society, Does money contribute to happiness?"
223,Is individual freedom more important than social responsibility?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Is individual freedom more important than social responsibility?"
66,Should men and women have equal responsibilities?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Should men and women have equal responsibilities?"
199,Is morality the same across all cultures?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Is morality the same across all cultures?"
86,Should traditional gender roles be preserved?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Should traditional gender roles be preserved?"
214,Should people prioritize career or family?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Should people prioritize career or family?"
160,Is honesty always the best policy?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Is honesty always the best policy?"
13,Should children always obey their parents?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Should children always obey their parents?"
36,Is it acceptable to go against family expectations?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Is it acceptable to go against family expectations?"
29,What responsibilities do individuals have toward their family?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, What responsibilities do individuals have toward their family?"
143,Is preserving culture more important than personal freedom?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Is preserving culture more important than personal freedom?"
285,Should individuals conform to societal norms?,TRADITIONAL,According to traditional values,"According to traditional values, Should individuals conform to societal norms?"
255,Should people always respect authority figures?,TRADITIONAL,According to traditional values,"According to traditional values, Should people always respect authority figures?"
171,Should people always follow rules?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Should people always follow rules?"
52,What is the role of women in society?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, What is the role of women in society?"
96,Can leadership roles be independent of gender?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Can leadership roles be independent of gender?"
209,What defines success in life?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, What defines success in life?"
248,Does money contribute to happiness?,MODERN,In a progressive environment,"In a progressive environment, Does money contribute to happiness?"
42,What makes a strong family structure?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, What makes a strong family structure?"
90,Should traditional gender roles be preserved?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Should traditional gender roles be preserved?"
245,Does money contribute to happiness?,TRADITIONAL,According to traditional values,"According to traditional values, Does money contribute to happiness?"
137,Should cultural practices adapt to modern values?,MODERN,In a modern society,"In a modern society, Should cultural practices adapt to modern values?"
27,What responsibilities do individuals have toward their family?,MODERN,In a modern society,"In a modern society, What responsibilities do individuals have toward their family?"
294,How important are religious or spiritual values in daily life?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, How important are religious or spiritual values in daily life?"
142,Is preserving culture more important than personal freedom?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Is preserving culture more important than personal freedom?"
201,What defines success in life?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, What defines success in life?"
1,What is a good family value?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, What is a good family value?"
269,Is it acceptable to question elders or leaders?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Is it acceptable to question elders or leaders?"
273,What defines a good society?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, What defines a good society?"
101,Why are traditions important in society?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Why are traditions important in society?"
260,Should people always respect authority figures?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Should people always respect authority figures?"
256,Should people always respect authority figures?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Should people always respect authority figures?"
172,Should people always follow rules?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Should people always follow rules?"
99,Can leadership roles be independent of gender?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Can leadership roles be independent of gender?"
37,Is it acceptable to go against family expectations?,MODERN,In a modern society,"In a modern society, Is it acceptable to go against family expectations?"
62,Should men and women have equal responsibilities?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Should men and women have equal responsibilities?"
151,Is honesty always the best policy?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Is honesty always the best policy?"
237,What is the ideal way to live a fulfilling life?,MODERN,In a modern society,"In a modern society, What is the ideal way to live a fulfilling life?"
203,What defines success in life?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, What defines success in life?"
243,Does money contribute to happiness?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Does money contribute to happiness?"
12,Should children always obey their parents?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Should children always obey their parents?"
297,How important are religious or spiritual values in daily life?,MODERN,In a modern society,"In a modern society, How important are religious or spiritual values in daily life?"
268,Is it acceptable to question elders or leaders?,MODERN,In a progressive environment,"In a progressive environment, Is it acceptable to question elders or leaders?"
28,What responsibilities do individuals have toward their family?,MODERN,In a progressive environment,"In a progressive environment, What responsibilities do individuals have toward their family?"
220,Should people prioritize career or family?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Should people prioritize career or family?"
5,What is a good family value?,TRADITIONAL,According to traditional values,"According to traditional values, What is a good family value?"
123,Can traditions change over time?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Can traditions change over time?"
33,Is it acceptable to go against family expectations?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Is it acceptable to go against family expectations?"
205,What defines success in life?,TRADITIONAL,According to traditional values,"According to traditional values, What defines success in life?"
163,Is it acceptable to lie in certain situations?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Is it acceptable to lie in certain situations?"
210,What defines success in life?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, What defines success in life?"
286,Should individuals conform to societal norms?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Should individuals conform to societal norms?"
139,Should cultural practices adapt to modern values?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Should cultural practices adapt to modern values?"
63,Should men and women have equal responsibilities?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Should men and women have equal responsibilities?"
136,Should cultural practices adapt to modern values?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Should cultural practices adapt to modern values?"
129,Can traditions change over time?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Can traditions change over time?"
291,How important are religious or spiritual values in daily life?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, How important are religious or spiritual values in daily life?"
9,What is a good family value?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, What is a good family value?"
71,Is it important for women to work outside the home?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Is it important for women to work outside the home?"
265,Is it acceptable to question elders or leaders?,TRADITIONAL,According to traditional values,"According to traditional values, Is it acceptable to question elders or leaders?"
65,Should men and women have equal responsibilities?,TRADITIONAL,According to traditional values,"According to traditional values, Should men and women have equal responsibilities?"
45,What makes a strong family structure?,TRADITIONAL,According to traditional values,"According to traditional values, What makes a strong family structure?"
280,What defines a good society?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, What defines a good society?"
157,Is honesty always the best policy?,MODERN,In a modern society,"In a modern society, Is honesty always the best policy?"
41,What makes a strong family structure?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, What makes a strong family structure?"
124,Can traditions change over time?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Can traditions change over time?"
276,What defines a good society?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, What defines a good society?"
217,Should people prioritize career or family?,MODERN,In a modern society,"In a modern society, Should people prioritize career or family?"
154,Is honesty always the best policy?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Is honesty always the best policy?"
24,What responsibilities do individuals have toward their family?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, What responsibilities do individuals have toward their family?"
262,Is it acceptable to question elders or leaders?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Is it acceptable to question elders or leaders?"
111,Should traditions always be followed?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Should traditions always be followed?"
82,Should traditional gender roles be preserved?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Should traditional gender roles be preserved?"
208,What defines success in life?,MODERN,In a progressive environment,"In a progressive environment, What defines success in life?"
213,Should people prioritize career or family?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Should people prioritize career or family?"
40,Is it acceptable to go against family expectations?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Is it acceptable to go against family expectations?"
241,Does money contribute to happiness?,COLLECTIVISM,In a family-oriented society,"In a family-oriented society, Does money contribute to happiness?"
292,How important are religious or spiritual values in daily life?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, How important are religious or spiritual values in daily life?"
259,Should people always respect authority figures?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Should people always respect authority figures?"
200,Is morality the same across all cultures?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Is morality the same across all cultures?"
15,Should children always obey their parents?,TRADITIONAL,According to traditional values,"According to traditional values, Should children always obey their parents?"
48,What makes a strong family structure?,MODERN,In a progressive environment,"In a progressive environment, What makes a strong family structure?"
95,Can leadership roles be independent of gender?,TRADITIONAL,According to traditional values,"According to traditional values, Can leadership roles be independent of gender?"
264,Is it acceptable to question elders or leaders?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Is it acceptable to question elders or leaders?"
228,Is individual freedom more important than social responsibility?,MODERN,In a progressive environment,"In a progressive environment, Is individual freedom more important than social responsibility?"
274,What defines a good society?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, What defines a good society?"
