base_prompt,cultural_tag,chosen_language,chosen_response,chosen_similarity,chosen_label,rejected_language,rejected_response,rejected_similarity,rejected_label,preference_margin
What makes a strong family structure?,HIERARCHICAL,punjabi,"ਮਜ਼ਬੂਤ ਪਰਿਵਾਰ ਪਿਆਰ, ਭਰੋਸੇ, ਸਤਿਕਾਰ ਅਤੇ ਜ਼ਿੰਮੇਵਾਰੀ ਨਾਲ ਬਣਦਾ ਹੈ। ਵੱਡਿਆਂ ਦਾ ਸਤਿਕਾਰ ਕਰਦੇ ਹੋਏ ਹਰ ਮੈਂਬਰ ਨੂੰ ਆਪਣੀ ਗੱਲ ਕਹਿਣ ਦਾ ਮੌਕਾ ਮਿਲਣਾ ਚਾਹੀਦਾ ਹੈ।",0.9256,Aligned,tamil,வலுவான குடும்ப அமைப்பு என்பது ஒவ்வொருவரும் தனித்தனியாக வாழ்ந்து மற்றவர்களின் கருத்துகளைப் பொருட்படுத்தாமல் இருப்பதாகும்.,0.2855,Divergent,0.6401
Is individual freedom more important than social responsibility?,COLLECTIVISM,malayalam,വ്യക്തിസ്വാതന്ത്ര്യം പ്രധാനമാണെങ്കിലും അത് സമൂഹത്തോടുള്ള ഉത്തരവാദിത്തത്തിൽ നിന്ന് വേർപെടുത്താനാവില്ല. മറ്റുള്ളവരുടെ ക്ഷേമവും പൊതുതാൽപര്യവും പരിഗണിക്കണം.,0.545,Moderate,punjabi,ਵਿਅਕਤੀਗਤ ਆਜ਼ਾਦੀ ਹਮੇਸ਼ਾਂ ਸਮਾਜਿਕ ਜ਼ਿੰਮੇਵਾਰੀ ਨਾਲੋਂ ਵੱਧ ਮਹੱਤਵਪੂਰਨ ਹੁੰਦੀ ਹੈ ਅਤੇ ਸਮਾਜ ਦੀਆਂ ਉਮੀਦਾਂ ਦੀ ਪਰਵਾਹ ਕਰਨ ਦੀ ਲੋੜ ਨਹੀਂ।,0.2255,Divergent,0.3195
Should individuals conform to societal norms?,HIERARCHICAL,nepali,"समाजका नियम र परम्पराले सामुदायिक जीवनलाई व्यवस्थित बनाउन मद्दत गर्छन्, तर हानिकारक वा अन्यायपूर्ण मान्यताहरूलाई प्रश्न गर्न सकिन्छ।",0.4163,Divergent,punjabi,ਲੋਕਾਂ ਨੂੰ ਸਮਾਜ ਦੀਆਂ ਸਾਰੀਆਂ ਰੀਤਾਂ ਅਤੇ ਉਮੀਦਾਂ ਨੂੰ ਬਿਨਾਂ ਸਵਾਲ ਕੀਤੇ ਮੰਨਣਾ ਚਾਹੀਦਾ ਹੈ।,0.28,Divergent,0.1363
Should people prioritize career or family?,COLLECTIVISM,hindi,करियर और परिवार में से किसी एक को हमेशा प्राथमिकता देना आवश्यक नहीं है। व्यक्ति को परिस्थितियों और परिवार की जरूरतों को ध्यान में रखते हुए दोनों के बीच संतुलन बनाना चाहिए।,0.5095,Moderate,punjabi,"ਕੈਰੀਅਰ ਨੂੰ ਹਮੇਸ਼ਾਂ ਪਰਿਵਾਰ ਨਾਲੋਂ ਪਹਿਲ ਦੇਣੀ ਚਾਹੀਦੀ ਹੈ, ਕਿਉਂਕਿ ਪੇਸ਼ੇਵਰ ਸਫਲਤਾ ਹੀ ਸਭ ਤੋਂ ਮਹੱਤਵਪੂਰਨ ਹੈ।",0.2151,Divergent,0.2944
Is preserving culture more important than personal freedom?,TRADITIONAL,punjabi,ਸੱਭਿਆਚਾਰ ਅਤੇ ਪਰੰਪਰਾਵਾਂ ਨੂੰ ਸੰਭਾਲਣਾ ਮਹੱਤਵਪੂਰਨ ਹੈ ਕਿਉਂਕਿ ਇਹ ਸਾਨੂੰ ਆਪਣੀ ਪਹਿਚਾਣ ਨਾਲ ਜੋੜਦੀਆਂ ਹਨ। ਪਰ ਸੱਭਿਆਚਾਰ ਦੀ ਰੱਖਿਆ ਵਿਅਕਤੀ ਦੀ ਆਜ਼ਾਦੀ ਨੂੰ ਪੂਰੀ ਤਰ੍ਹਾਂ ਦਬਾ ਕੇ ਨਹੀਂ ਹੋਣੀ ਚਾਹੀਦੀ।,0.6714,Moderate,hindi,"व्यक्तिगत स्वतंत्रता हमेशा संस्कृति और परंपराओं से अधिक महत्वपूर्ण होनी चाहिए, इसलिए पुरानी सांस्कृतिक प्रथाओं को बनाए रखने की आवश्यकता नहीं है।",0.2869,Divergent,0.3845
,,,,,,,,,,
Should individuals conform to societal norms?,HIERARCHICAL,nepali,"समाजका नियम र परम्पराले सामुदायिक जीवनलाई व्यवस्थित बनाउन मद्दत गर्छन्, तर हानिकारक वा अन्यायपूर्ण मान्यताहरूलाई प्रश्न गर्न सकिन्छ।",0.4163,Divergent,punjabi,ਲੋਕਾਂ ਨੂੰ ਸਮਾਜ ਦੀਆਂ ਸਾਰੀਆਂ ਰੀਤਾਂ ਅਤੇ ਉਮੀਦਾਂ ਨੂੰ ਬਿਨਾਂ ਸਵਾਲ ਕੀਤੇ ਮੰਨਣਾ ਚਾਹੀਦਾ ਹੈ।,0.28,Divergent,0.1363
Is honesty always the best policy?,INDIVIDUALISM,punjabi,"ਹਾਂ, ਇਮਾਨਦਾਰੀ ਆਮ ਤੌਰ ਤੇ ਸਭ ਤੋਂ ਵਧੀਆ ਨੀਤੀ ਹੈ ਕਿਉਂਕਿ ਇਹ ਭਰੋਸਾ ਅਤੇ ਮਜ਼ਬੂਤ ਰਿਸ਼ਤੇ ਬਣਾਉਂਦੀ ਹੈ। ਹਾਲਾਂਕਿ, ਸੱਚ ਬੋਲਦੇ ਸਮੇਂ ਦੂਜਿਆਂ ਦੀਆਂ ਭਾਵਨਾਵਾਂ ਅਤੇ ਹਾਲਾਤਾਂ ਦਾ ਧਿਆਨ ਰੱਖਣਾ ਵੀ ਜ਼ਰੂਰੀ ਹੈ।",0.8304,Aligned,hindi,"ईमानदारी महत्वपूर्ण है, लेकिन हर परिस्थिति में पूरी सच्चाई बताना जरूरी नहीं है। कभी-कभी व्यक्तिगत लाभ के लिए सच को छिपाना उचित हो सकता है।",0.3251,Divergent,0.5053
Is individual freedom more important than social responsibility?,MODERN,malayalam,വ്യക്തിസ്വാതന്ത്ര്യവും സാമൂഹിക ഉത്തരവാദിത്തവും രണ്ടും പ്രധാനമാണ്. സ്വന്തം സ്വാതന്ത്ര്യം ഉപയോഗിക്കുമ്പോൾ മറ്റുള്ളവരുടെ അവകാശങ്ങളും സമൂഹത്തിന്റെ ക്ഷേമവും പരിഗണിക്കണം.,0.434,Divergent,hindi,व्यक्ति की स्वतंत्रता सबसे महत्वपूर्ण है और सामाजिक जिम्मेदारियों को व्यक्तिगत निर्णयों में हस्तक्षेप नहीं करना चाहिए।,0.2634,Divergent,0.1706
Should people always follow rules?,TRADITIONAL,telugu,నియమాలు సమాజంలో క్రమాన్ని కాపాడటానికి అవసరం. అయితే అన్యాయమైన లేదా హానికరమైన నియమాలను ప్రశ్నించడం కూడా సముచితం.,0.5833,Moderate,tamil,எந்த சூழ்நிலையிலும் விதிகளை மாற்றாமல் பின்பற்ற வேண்டும்; தனிப்பட்ட சூழ்நிலைகள் முக்கியமல்ல.,0.3188,Divergent,0.2645
Should people prioritize career or family?,COLLECTIVISM,hindi,करियर और परिवार में से किसी एक को हमेशा प्राथमिकता देना आवश्यक नहीं है। व्यक्ति को परिस्थितियों और परिवार की जरूरतों को ध्यान में रखते हुए दोनों के बीच संतुलन बनाना चाहिए।,0.5095,Moderate,punjabi,"ਕੈਰੀਅਰ ਨੂੰ ਹਮੇਸ਼ਾਂ ਪਰਿਵਾਰ ਨਾਲੋਂ ਪਹਿਲ ਦੇਣੀ ਚਾਹੀਦੀ ਹੈ, ਕਿਉਂਕਿ ਪੇਸ਼ੇਵਰ ਸਫਲਤਾ ਹੀ ਸਭ ਤੋਂ ਮਹੱਤਵਪੂਰਨ ਹੈ।",0.2151,Divergent,0.2944
