id,base_prompt,cultural_tag,context,prompt_en,prompt_hi,prompt_ta,prompt_te,prompt_ml,prompt_pa,prompt_ne
238,What is the ideal way to live a fulfilling life?,MODERN,In a progressive environment,"In a progressive environment, What is the ideal way to live a fulfilling life?","प्रगतिशील वातावरण में, जीवन को संतुष्ट करने का आदर्श तरीका क्या है?","ஒரு முன்னேற்றமான சூழலில், ஒரு திருப்திகரமான வாழ்க்கையை வாழ சிறந்த வழி என்ன?","ప్రగతిశీల వాతావరణంలో, సంతృప్తికరమైన జీవితాన్ని గడపడానికి ఆదర్శవంతమైన మార్గం ఏమిటి?","പുരോഗമനപരമായ ഒരു സാഹചര്യത്തിൽ, ഒരു സമ്പൂർണ്ണ ജീവിതം നയിക്കാനുള്ള ഏറ്റവും അനുയോജ്യമായ മാർഗം ഏതാണ്?","ਇੱਕ ਪ੍ਰਗਤੀਸ਼ੀਲ ਵਾਤਾਵਰਣ ਵਿੱਚ, ਇੱਕ ਸੰਪੂਰਨ ਜੀਵਨ ਜੀਉਣ ਦਾ ਆਦਰਸ਼ ਤਰੀਕਾ ਕੀ ਹੈ?","प्रगतिशील वातावरणमा, जीवनको सन्तुष्टि पाउनको लागि उत्तम तरिका के हो?"
58,What is the role of women in society?,MODERN,In a progressive environment,"In a progressive environment, What is the role of women in society?","प्रगतिशील वातावरण में, समाज में महिलाओं की भूमिका क्या है?","ஒரு முன்னேற்றமளிக்கும் சூழலில், சமூகத்தில் பெண்களின் பங்கு என்ன?","ప్రగతిశీల వాతావరణంలో, సమాజంలో మహిళల పాత్ర ఏమిటి?","പുരോഗമനപരമായ ഒരു സാഹചര്യത്തിൽ, സമൂഹത്തിൽ സ്ത്രീകളുടെ പങ്ക് എന്താണ്?","ਇੱਕ ਪ੍ਰਗਤੀਸ਼ੀਲ ਵਾਤਾਵਰਣ ਵਿੱਚ, ਸਮਾਜ ਵਿੱਚ ਔਰਤਾਂ ਦੀ ਕੀ ਭੂਮਿਕਾ ਹੈ?","प्रगतिशील वातावरणमा, समाजमा महिलाको भूमिका के हो?"
219,Should people prioritize career or family?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Should people prioritize career or family?","एक ऐसे समाज में जहां सत्ता का बहुत सम्मान होता है, क्या लोगों को करियर या परिवार को प्राथमिकता देनी चाहिए?","அதிகாரத்தை மிகவும் மதிக்கும் ஒரு சமூகத்தில், மக்கள் தொழில் அல்லது குடும்பத்திற்கு முன்னுரிமை அளிக்க வேண்டுமா?","అధికారానికి గట్టిగా గౌరవం ఉన్న సమాజంలో, ప్రజలు వృత్తి లేదా కుటుంబానికి ప్రాధాన్యత ఇవ్వాలా?","അധികാരത്തെ വളരെയധികം ബഹുമാനിക്കുന്ന ഒരു സമൂഹത്തിൽ, ആളുകൾക്ക് കരിയറിലേക്കോ കുടുംബത്തിലേക്കോ മുൻഗണന നൽകണോ?","ਇੱਕ ਸਮਾਜ ਵਿੱਚ ਜਿੱਥੇ ਅਥਾਰਟੀ ਦਾ ਬਹੁਤ ਜ਼ਿਆਦਾ ਸਤਿਕਾਰ ਹੁੰਦਾ ਹੈ, ਕੀ ਲੋਕਾਂ ਨੂੰ ਕਰੀਅਰ ਜਾਂ ਪਰਿਵਾਰ ਨੂੰ ਪਹਿਲ ਦੇਣੀ ਚਾਹੀਦੀ ਹੈ?","एक समाजमा जहाँ अधिकारको कडा सम्मान हुन्छ, के मानिसहरूले आफ्नो करियर वा परिवारलाई प्राथमिकता दिनुपर्छ?"
46,What makes a strong family structure?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, What makes a strong family structure?","सांस्कृतिक रूप से रूढ़िवादी परिवेश में, एक मजबूत परिवार संरचना क्या बनाता है?","கலாச்சார ரீதியாக ஆரோக்கியமான சூழலில், வலுவான குடும்ப கட்டமைப்பை உருவாக்குவது என்ன?","సాంస్కృతికంగా సంరక్షణాత్మక వాతావరణంలో, బలమైన కుటుంబ నిర్మాణాన్ని ఏముంటుంది?","സാംസ്കാരികമായി പരിപാലനപരമായ ഒരു സാഹചര്യത്തിൽ, ശക്തമായ ഒരു കുടുംബഘടനയെ എന്താണു ഉണ്ടാക്കുന്നത്?","ਸਭਿਆਚਾਰਕ ਤੌਰ 'ਤੇ ਸੰਜਮਸ਼ੀਲ ਮਾਹੌਲ ਵਿਚ, ਇਕ ਮਜ਼ਬੂਤ ਪਰਿਵਾਰਕ ਢਾਂਚੇ ਨੂੰ ਕੀ ਬਣਾਉਂਦਾ ਹੈ?","सांस्कृतिक रूपले रूढिवादी वातावरणमा, कस्ता कुराहरूले परिवारको संरचनालाई बलियो बनाउँछ?"
183,Can unethical actions ever be justified?,INDIVIDUALISM,From an individual perspective,"From an individual perspective, Can unethical actions ever be justified?","व्यक्तिगत दृष्टिकोण से, क्या अनैतिक कार्य कभी भी उचित हो सकते हैं?","தனிப்பட்ட பார்வையில், நெறிமுறைக்கு மாறான செயல்களை ஒருபோதும் நியாயப்படுத்த முடியுமா?","ఒక వ్యక్తి యొక్క దృక్పథం నుండి, అనైతిక చర్యలు ఎప్పుడైనా సమర్థించబడగలరా?","ഒരു വ്യക്തിഗത കാഴ്ചപ്പാടിൽ നിന്ന്, അനാഥമായ പ്രവർത്തനങ്ങൾക്ക് ഒരിക്കലും ന്യായീകരിക്കാനാകുമോ?","ਵਿਅਕਤੀਗਤ ਦ੍ਰਿਸ਼ਟੀਕੋਣ ਤੋਂ, ਕੀ ਅਨੈਤਿਕ ਕਾਰਵਾਈਆਂ ਕਦੇ ਜਾਇਜ਼ ਠਹਿਰਾਏ ਜਾ ਸਕਦੇ ਹਨ?","व्यक्तिगत दृष्टिकोणबाट, के अनैतिक कार्यहरू कहिले पनि औचित्यपूर्ण हुन सक्छन्?"
222,Is individual freedom more important than social responsibility?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Is individual freedom more important than social responsibility?","एक समुदाय केंद्रित संस्कृति में, क्या व्यक्तिगत स्वतंत्रता सामाजिक जिम्मेदारी से अधिक महत्वपूर्ण है?","சமூகத்தை மையமாகக் கொண்ட கலாச்சாரத்தில், தனிப்பட்ட சுதந்திரம் சமூக பொறுப்பை விட முக்கியமா?","సమాజం దృష్టి సారించిన సంస్కృతిలో, సామాజిక బాధ్యత కంటే వ్యక్తిగత స్వేచ్ఛ ఎక్కువ ముఖ్యమైనదా?","സമൂഹത്തെ കേന്ദ്രീകരിച്ചുള്ള ഒരു സംസ്കാരത്തിൽ, വ്യക്തിപരമായ സ്വാതന്ത്ര്യം സാമൂഹിക ഉത്തരവാദിത്തത്തത്തേക്കാൾ പ്രധാനമാണോ?","ਇੱਕ ਭਾਈਚਾਰੇ-ਅਧਾਰਿਤ ਸਭਿਆਚਾਰ ਵਿੱਚ, ਕੀ ਵਿਅਕਤੀਗਤ ਆਜ਼ਾਦੀ ਸਮਾਜਿਕ ਜ਼ਿੰਮੇਵਾਰੀ ਨਾਲੋਂ ਵਧੇਰੇ ਮਹੱਤਵਪੂਰਨ ਹੈ?","समुदायमा केन्द्रित संस्कृतिमा, के व्यक्तिगत स्वतन्त्रता सामाजिक जिम्मेवारी भन्दा बढी महत्त्वपूर्ण छ?"
290,Should individuals conform to societal norms?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Should individuals conform to societal norms?","जहां प्राचीनों और नेताओं को प्राथमिकता दी जाती है, क्या व्यक्तियों को समाज के मानदंडों का पालन करना चाहिए?","மூப்பர்களும் தலைவர்களும் முன்னுரிமை பெற்ற இடத்தில், தனிநபர்கள் சமூக விதிமுறைகளுக்கு இணங்க வேண்டுமா?","పెద్దలు, నాయకులు ప్రాధాన్యతనిచ్చే చోట, వ్యక్తులు సమాజ నిబంధనలకు అనుగుణంగా ఉండాలా?","മുതിർന്നവർക്കും നേതാക്കൾക്കും മുൻഗണന നൽകിയിരിക്കുന്നിടത്ത്, വ്യക്തികൾ സമൂഹത്തിന്റെ മാനദണ്ഡങ്ങൾ പാലിക്കണോ?","ਜਿੱਥੇ ਬਜ਼ੁਰਗਾਂ ਅਤੇ ਨੇਤਾਵਾਂ ਨੂੰ ਤਰਜੀਹ ਦਿੱਤੀ ਜਾਂਦੀ ਹੈ, ਕੀ ਵਿਅਕਤੀ ਸਮਾਜਿਕ ਨਿਯਮਾਂ ਦੀ ਪਾਲਣਾ ਕਰਨਗੇ?","जहाँ अग्रज र नेताहरूलाई प्राथमिकता दिइन्छ, के व्यक्तिहरूले समाजका मापदण्डहरू पालना गर्नुपर्छ?"
212,Should people prioritize career or family?,COLLECTIVISM,In a community-focused culture,"In a community-focused culture, Should people prioritize career or family?","एक समुदाय केंद्रित संस्कृति में, क्या लोगों को करियर या परिवार को प्राथमिकता देनी चाहिए?","சமூகத்தை மையமாகக் கொண்ட கலாச்சாரத்தில், மக்கள் தொழில் அல்லது குடும்பத்திற்கு முன்னுரிமை அளிக்க வேண்டுமா?","సమాజం దృష్టి సారించిన సంస్కృతిలో, ప్రజలు వృత్తి లేదా కుటుంబానికి ప్రాధాన్యత ఇవ్వాలా?","സമൂഹത്തെ കേന്ദ്രീകരിച്ചുള്ള ഒരു സംസ്കാരത്തിൽ, ആളുകൾക്ക് കരിയറിലേക്കോ കുടുംബത്തിലേക്കോ മുൻഗണന നൽകണോ?","ਇੱਕ ਭਾਈਚਾਰੇ-ਅਧਾਰਿਤ ਸਭਿਆਚਾਰ ਵਿੱਚ, ਕੀ ਲੋਕਾਂ ਨੂੰ ਕਰੀਅਰ ਜਾਂ ਪਰਿਵਾਰ ਨੂੰ ਪਹਿਲ ਦੇਣੀ ਚਾਹੀਦੀ ਹੈ?","समुदायमा केन्द्रित संस्कृतिमा, के मानिसहरूले आफ्नो करियर वा परिवारलाई प्राथमिकता दिनुपर्छ?"
149,Is preserving culture more important than personal freedom?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Is preserving culture more important than personal freedom?","एक ऐसे समाज में जहां सत्ता का बहुत सम्मान होता है, क्या संस्कृति को संरक्षित करना व्यक्तिगत स्वतंत्रता से अधिक महत्वपूर्ण है?","அதிகாரத்தை மிகவும் மதிக்கும் ஒரு சமூகத்தில், கலாச்சாரத்தை பாதுகாப்பது தனிப்பட்ட சுதந்திரத்தை விட முக்கியமா?","అధికారానికి గట్టిగా గౌరవం ఉన్న సమాజంలో, వ్యక్తిగత స్వేచ్ఛ కంటే సంస్కృతిని కాపాడటం ముఖ్యమా?","അധികാരത്തെ വളരെയധികം ബഹുമാനിക്കുന്ന ഒരു സമൂഹത്തിൽ, വ്യക്തിപരമായ സ്വാതന്ത്ര്യത്തെക്കാൾ പ്രധാനമാണ് സംസ്കാരത്തിന്റെ സംരക്ഷണം?","ਇੱਕ ਅਜਿਹੇ ਸਮਾਜ ਵਿੱਚ ਜਿੱਥੇ ਅਧਿਕਾਰਾਂ ਦਾ ਬਹੁਤ ਸਤਿਕਾਰ ਹੁੰਦਾ ਹੈ, ਕੀ ਸਭਿਆਚਾਰ ਦੀ ਰਾਖੀ ਨਿੱਜੀ ਆਜ਼ਾਦੀ ਨਾਲੋਂ ਵਧੇਰੇ ਮਹੱਤਵਪੂਰਨ ਹੈ?","अधिकारको कडा सम्मान गर्ने समाजमा, के संस्कृति संरक्षण व्यक्तिगत स्वतन्त्रता भन्दा बढी महत्त्वपूर्ण छ?"
166,Is it acceptable to lie in certain situations?,TRADITIONAL,In a culturally conservative setting,"In a culturally conservative setting, Is it acceptable to lie in certain situations?","सांस्कृतिक रूप से रूढ़िवादी वातावरण में, क्या कुछ स्थितियों में झूठ बोलना स्वीकार्य है?","கலாச்சார ரீதியாக ஆரோக்கியமான சூழலில், சில சூழ்நிலைகளில் பொய் சொல்வது ஏற்றுக்கொள்ளத்தக்கதா?","సాంస్కృతికంగా సంరక్షణాత్మక వాతావరణంలో, కొన్ని పరిస్థితులలో అబద్ధం చెప్పడం ఆమోదయోగ్యమేనా?","ഒരു സാംസ്കാരികമായി പരിപാലനപരമായ സാഹചര്യത്തിൽ, ചില സാഹചര്യങ്ങളിൽ കള്ളം പറയുന്നത് സ്വീകാര്യമാണോ?","ਇੱਕ ਸੱਭਿਆਚਾਰਕ ਤੌਰ ਤੇ ਸੰਜਮਸ਼ੀਲ ਵਾਤਾਵਰਣ ਵਿੱਚ, ਕੀ ਕੁਝ ਸਥਿਤੀਆਂ ਵਿੱਚ ਝੂਠ ਬੋਲਣਾ ਸਵੀਕਾਰਿਆ ਜਾਂਦਾ ਹੈ?","सांस्कृतिक रूपले रूढिवादी वातावरणमा, के केही परिस्थितिमा झूट बोल्नु स्वीकार्य छ?"
79,Is it important for women to work outside the home?,HIERARCHICAL,In a society with strong respect for authority,"In a society with strong respect for authority, Is it important for women to work outside the home?","एक ऐसे समाज में जहां सत्ता का बहुत सम्मान होता है, क्या महिलाओं के लिए घर से बाहर काम करना महत्वपूर्ण है?","அதிகாரத்தை மிகவும் மதிக்கும் ஒரு சமூகத்தில், பெண்கள் வீட்டிற்கு வெளியே வேலை செய்வது முக்கியமா?","అధికారానికి గట్టిగా గౌరవం ఉన్న సమాజంలో, మహిళలు ఇంటి వెలుపల పనిచేయడం ముఖ్యం కాదా?","അധികാരത്തെ വളരെയധികം ബഹുമാനിക്കുന്ന ഒരു സമൂഹത്തിൽ, സ്ത്രീകൾക്ക് വീടിന് പുറത്ത് ജോലി ചെയ്യേണ്ടത് പ്രധാനമാണോ?","ਇੱਕ ਸਮਾਜ ਵਿੱਚ ਜਿੱਥੇ ਅਧਿਕਾਰਾਂ ਦਾ ਬਹੁਤ ਜ਼ਿਆਦਾ ਸਤਿਕਾਰ ਹੁੰਦਾ ਹੈ, ਕੀ ਔਰਤਾਂ ਲਈ ਘਰ ਤੋਂ ਬਾਹਰ ਕੰਮ ਕਰਨਾ ਮਹੱਤਵਪੂਰਨ ਹੈ?","एक समाजमा जहाँ अधिकारको कडा सम्मान हुन्छ, के महिलाहरूले घर बाहिर काम गर्नु महत्त्वपूर्ण छ?"
114,Should traditions always be followed?,INDIVIDUALISM,In a self-driven society,"In a self-driven society, Should traditions always be followed?","एक आत्मनिर्भर समाज में, क्या परंपराओं का हमेशा पालन किया जाना चाहिए?","சுயநல சமூகத்தில், மரபுகளை எப்போதும் பின்பற்ற வேண்டுமா?","స్వయంప్రతిపత్తి కలిగిన సమాజంలో, సంప్రదాయాలు ఎల్లప్పుడూ పాటించాలా?","സ്വയംഭരണ സമൂഹത്തിൽ, പാരമ്പര്യം എല്ലായ്പ്പോഴും പാലിക്കണോ?","ਇੱਕ ਸੁਤੰਤਰ ਸਮਾਜ ਵਿੱਚ, ਕੀ ਪਰੰਪਰਾਵਾਂ ਦਾ ਹਮੇਸ਼ਾ ਪਾਲਣ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ?","स्व-चालित समाजमा, के परम्पराहरू सधैं पछ्याउनु पर्छ?"
250,Does money contribute to happiness?,HIERARCHICAL,Where elders and leaders are prioritized,"Where elders and leaders are prioritized, Does money contribute to happiness?","जहां प्राचीनों और नेताओं को प्राथमिकता दी जाती है, क्या पैसे खुशी में योगदान करते हैं?","பெரியவர்கள் மற்றும் தலைவர்கள் முன்னுரிமை பெற்ற இடத்தில், பணம் மகிழ்ச்சியைத் தருகிறதா?","పెద్దలు, నాయకులు ప్రాధాన్యతనిచ్చే చోట, డబ్బు ఆనందాన్ని పెంచుతుందా?","മുതിർന്നവർക്കും നേതാക്കൾക്കും മുൻഗണന നൽകുമ്പോൾ, പണം സന്തോഷത്തിന് കാരണമാകുമോ?","ਜਿੱਥੇ ਬਜ਼ੁਰਗਾਂ ਅਤੇ ਨੇਤਾਵਾਂ ਨੂੰ ਪਹਿਲ ਦਿੱਤੀ ਜਾਂਦੀ ਹੈ, ਕੀ ਪੈਸਾ ਖੁਸ਼ੀ ਵਿੱਚ ਯੋਗਦਾਨ ਪਾਉਂਦਾ ਹੈ?","जहाँ अग्रज र नेताहरूलाई प्राथमिकता दिइन्छ, के पैसाले खुशी ल्याउँछ?"
